Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_A8,Q31,time
2,4,2,2,1,6,3,7,7,7,5,6,0,7,7
1,4,2,2,2,6,3,5,6,5,5,6,0,7,9
2,4,2,2,2,6,3,5,7,4,6,6,0,7,9
2,4,2,2,1,6,5,6,6,5,4,5,0,7,9
1,4,2,2,1,3,7,6,6,4,6,6,0,7,8
2,4,2,2,1,3,4,6,6,5,5,6,0,7,9
2,4,2,2,2,5,3,6,6,5,5,6,0,7,9
2,4,2,2,1,5,3,6,7,5,4,6,1,7,8
2,4,2,2,2,7,4,6,6,6,6,7,0,7,9
2,4,2,2,1,4,7,5,6,4,6,7,0,7,10
2,4,2,2,2,5,6,7,6,6,6,7,0,7,10
1,4,2,2,2,3,6,5,5,5,5,5,1,7,8
2,4,2,2,2,5,5,6,6,6,6,6,1,7,10
2,4,2,2,1,4,7,6,6,5,6,5,0,7,10
2,1,2,2,2,3,6,6,6,6,6,6,0,7,10
2,4,2,2,1,3,7,6,6,5,6,7,0,7,10
2,4,2,2,1,3,4,6,6,6,6,5,0,7,10
2,4,2,2,2,5,5,6,6,6,7,7,0,7,9
1,4,2,2,2,5,5,7,6,6,6,7,0,7,10
2,4,2,2,2,3,6,6,6,6,5,5,0,7,10
2,4,2,2,1,4,3,6,6,5,4,4,0,7,9
2,4,2,2,2,4,5,6,6,6,5,7,0,7,10
2,4,2,2,2,4,7,6,6,5,6,7,0,7,12
1,4,2,2,2,4,7,7,6,5,6,6,0,7,11
2,4,2,2,2,5,5,5,6,5,5,5,0,7,11
2,4,2,2,2,3,6,6,6,4,5,6,0,7,11
2,4,2,2,1,5,5,6,6,5,5,5,0,7,12
2,4,2,2,2,6,5,6,6,5,7,7,0,7,12
2,1,2,2,2,3,5,6,6,5,4,4,0,7,9
2,4,2,2,2,5,6,5,6,5,5,6,0,7,12
2,4,2,2,2,6,5,5,7,4,5,7,0,7,12
2,4,2,2,2,3,7,6,6,4,5,6,0,7,12
2,4,2,2,1,5,5,6,5,5,6,6,0,7,12
2,4,2,2,2,6,3,6,6,5,5,5,0,7,9
2,4,2,2,2,6,5,6,6,5,5,6,0,7,13
2,4,2,2,2,5,3,6,6,5,6,6,0,7,12
2,4,2,2,2,4,5,7,6,5,5,6,0,7,11
2,4,2,2,2,7,5,7,6,6,5,5,0,7,12
2,4,2,2,1,4,6,5,5,4,4,5,0,7,13
1,4,2,2,1,5,3,6,6,4,3,5,0,7,12
2,4,2,2,2,4,5,7,7,7,7,6,1,7,12
2,4,2,2,2,3,7,6,6,5,6,6,0,7,12
1,4,2,2,2,6,3,6,7,6,7,8,0,7,10
2,4,2,2,1,10,7,6,6,6,4,5,0,7,12
2,4,2,2,1,3,7,6,6,5,7,7,0,7,12
2,4,2,2,2,3,7,7,6,5,5,6,0,7,13
2,4,2,2,1,5,5,5,6,4,6,6,0,7,13
1,4,2,2,1,5,5,5,5,4,4,4,0,7,13
2,4,2,2,2,5,5,7,6,6,6,5,0,7,13
2,4,2,2,2,5,4,6,7,7,7,7,0,7,13
2,4,2,2,1,3,5,5,6,4,6,4,0,7,13
2,4,2,2,1,3,5,5,6,4,4,4,0,7,13
2,4,2,2,2,7,6,6,6,6,5,6,0,7,13
2,4,2,2,1,4,7,7,7,7,6,5,0,7,13
2,4,2,2,2,4,5,7,7,6,7,7,0,7,13
2,4,2,2,2,4,7,5,4,5,5,5,0,7,14
